Episode,Queen,Tag,Points
1,Silky Nutmeg Ganache,#mini,3
1,Brooke Lynn Hytes,#maxi,7
1,Kahanna Montrese,#bottom,-5
1,Soju,#bottom,-5
1,Kahanna Montrese,#shantay,2
1,Soju,#sashay,-5
2,Brooke Lynn Hytes ,#mini,3
2,Silky Nutmeg Ganache,#mini,3
2,Yvie Oddly,#maxi,7
2,Scarlet Envy,#maxi,7
2,Mercedes Iman Diamond,#bottom,-5
2,Kahanna Montrese,#bottom,-5
2,Mercedes Iman Diamond,#shantay,2
2,Kahanna Montrese,#sashay,-5
3,Nina West,#mini,3
3,Ra’jah O’Hara,#mini,3
3,Nina West,#maxi,7
3,Scarlet Envy,#bottom,-5
3,Shuga Cain,#bottom,-5
3,Akeria C. Davenport,#bottom,-5
3,Plastique Tiara,#bottom,-5
3,Honey Davenport,#bottom,-5
3,Ra’Jah O’Hara,#bottom,-5
3,Scarlet Envy,#shantay,2
3,Shuga Cain,#shantay,2
3,Akeria C. Davenport,#shantay,2
3,Plastique Tiara,#shantay,2
3,Honey Davenport,#sashay,-5
3,Ra’Jah O’Hara,#shantay,2